Frequency,Reflectivity
399.24736,0.01006
400.20709,0.01257
401.16682,0.01481
402.12655,0.01842
403.08628,0.02544
404.04601,0.03244
405.00574,0.0378
405.96547,0.0424
406.9252,0.04711
407.88493,0.05175
408.84465,0.05596
409.80438,0.05933
410.76411,0.06145
411.72384,0.06269
412.68357,0.06392
413.6433,0.06532
414.60303,0.06644
415.56276,0.06695
416.52249,0.06729
417.48222,0.06854
418.44195,0.0717
419.40168,0.07622
420.36141,0.07975
421.32113,0.08089
422.28086,0.08037
423.24059,0.0799
424.20032,0.08073
425.16005,0.08287
426.11978,0.08561
427.07951,0.0884
428.03924,0.09099
428.99897,0.09329
429.9587,0.09537
430.91843,0.0974
431.87816,0.09929
432.83789,0.10061
433.79761,0.10113
434.75734,0.10125
435.71707,0.10168
436.6768,0.10267
437.63653,0.10401
438.59626,0.10554
439.55599,0.10752
440.51572,0.11017
441.47545,0.11322
442.43518,0.11614
443.39491,0.11878
444.35464,0.12151
445.31437,0.12448
446.2741,0.12743
447.23382,0.13031
448.19355,0.13347
449.15328,0.137
450.11301,0.14043
451.07274,0.14322
452.03247,0.14547
452.9922,0.14743
453.95193,0.14897
454.91166,0.15001
455.87139,0.15112
456.83112,0.15319
457.79085,0.15629
458.75058,0.15961
459.7103,0.16274
460.67003,0.16623
461.62976,0.17047
462.58949,0.17501
463.54922,0.17928
464.50895,0.1832
465.46868,0.18697
466.42841,0.19061
467.38814,0.19422
468.34787,0.19802
469.3076,0.20202
470.26733,0.20601
471.22706,0.21009
472.18678,0.21485
473.14651,0.22071
474.10624,0.22756
475.06597,0.23498
476.0257,0.24244
476.98543,0.24946
477.94516,0.25614
478.90489,0.26331
479.86462,0.27186
480.82435,0.28174
481.78408,0.29218
482.74381,0.3028
483.70354,0.31429
484.66326,0.32753
485.62299,0.3426
486.58272,0.35909
487.54245,0.37726
488.50218,0.39837
489.46191,0.42396
490.42164,0.45506
491.38137,0.4916
492.3411,0.53211
493.30083,0.57391
494.26056,0.61372
495.22029,0.64859
496.18002,0.6767
497.13974,0.69769
498.09947,0.7122
499.0592,0.7211
500.01893,0.72496
500.97866,0.72362
501.93839,0.71568
502.89812,0.69804
503.85785,0.66498
504.81758,0.60897
505.77731,0.52676
506.73704,0.42894
507.69677,0.34146
508.6565,0.29241
509.61622,0.29605
510.57595,0.34769
511.53568,0.42932
512.49541,0.51937
513.45514,0.6008
514.41487,0.66488
515.3746,0.71064
516.33433,0.74162
517.29406,0.76224
518.25379,0.77573
519.21352,0.78427
520.17325,0.78951
521.13298,0.79272
522.0927,0.79456
523.05243,0.7953
524.01216,0.79494
524.97189,0.79355
525.93162,0.79151
526.89135,0.78967
527.85108,0.78862
528.81081,0.78813
529.77054,0.7874
530.73027,0.78595
531.69,0.784
532.64973,0.78208
533.60946,0.7805
534.56918,0.77906
535.52891,0.77715
536.48864,0.77425
537.44837,0.77018
538.4081,0.76496
539.36783,0.75854
540.32756,0.75064
541.28729,0.74095
542.24702,0.72919
543.20675,0.71513
544.16648,0.69848
545.12621,0.67853
546.08594,0.65374
547.04566,0.62155
548.00539,0.57853
548.96512,0.5216
549.92485,0.45081
550.88458,0.37155
551.84431,0.29326
552.80404,0.22498
553.76377,0.17131
554.7235,0.13171
555.68323,0.10279
556.64296,0.08115
557.60269,0.06465
558.56242,0.05214
559.52214,0.04279
560.48187,0.03557
561.4416,0.02939
562.40133,0.02367
563.36106,0.01856
564.32079,0.0145
565.28052,0.01161
566.24025,0.00953
567.19998,0.00774
568.15971,0.00597
569.11944,0.00424
570.07917,0.0027
571.0389,0.00154
571.99863,0.00097
572.95835,0.00118
573.91808,0.0014
574.87781,0.00143
575.83754,0.00131
576.79727,0.00115
577.757,0.00106
578.71673,0.00113
579.67646,0.00133
580.63619,0.00137
581.59592,0.00132
582.55565,0.00155
583.51538,0.00213
584.47511,0.00261
585.43483,0.00284
586.39456,0.00309
587.35429,0.00358
588.31402,0.00418
589.27375,0.00469
590.23348,0.00508
591.19321,0.00546
592.15294,0.00587
593.11267,0.00622
594.0724,0.00634
595.03213,0.00622
595.99186,0.00613
596.95159,0.0064
597.91131,0.00711
