Frequency,Reflectivity
399.24736,0.13047
400.20709,0.14044
401.16682,0.13076
402.12655,0.10354
403.08628,0.071
404.04601,0.04672
405.00574,0.0368
405.96547,0.03902
406.9252,0.04872
407.88493,0.06066
408.84465,0.06968
409.80438,0.07411
410.76411,0.07605
411.72384,0.078
412.68357,0.08086
413.6433,0.08464
414.60303,0.08893
415.56276,0.09333
416.52249,0.09791
417.48222,0.10301
418.44195,0.10832
419.40168,0.11285
420.36141,0.11564
421.32113,0.11674
422.28086,0.11748
423.24059,0.11908
424.20032,0.12144
425.16005,0.1239
426.11978,0.12655
427.07951,0.13005
428.03924,0.13441
428.99897,0.13875
429.9587,0.14257
430.91843,0.14646
431.87816,0.15095
432.83789,0.15551
433.79761,0.15932
434.75734,0.16221
435.71707,0.16456
436.6768,0.16678
437.63653,0.16945
438.59626,0.17339
439.55599,0.17903
440.51572,0.18557
441.47545,0.19134
442.43518,0.19554
443.39491,0.1992
444.35464,0.20404
445.31437,0.21046
446.2741,0.21749
447.23382,0.22437
448.19355,0.23148
449.15328,0.23967
450.11301,0.24932
451.07274,0.26021
452.03247,0.272
452.9922,0.28463
453.95193,0.29818
454.91166,0.31274
455.87139,0.32875
456.83112,0.34695
457.79085,0.36733
458.75058,0.38893
459.7103,0.41179
460.67003,0.43797
461.62976,0.4698
462.58949,0.50798
463.54922,0.55111
464.50895,0.59641
465.46868,0.64034
466.42841,0.6793
467.38814,0.71086
468.34787,0.73448
469.3076,0.75147
470.26733,0.76412
471.22706,0.77443
472.18678,0.78365
473.14651,0.79238
474.10624,0.80063
475.06597,0.8076
476.0257,0.8124
476.98543,0.81505
477.94516,0.81674
478.90489,0.81857
479.86462,0.82068
480.82435,0.82252
481.78408,0.8236
482.74381,0.82383
483.70354,0.82351
484.66326,0.82306
485.62299,0.82278
486.58272,0.82289
487.54245,0.82342
488.50218,0.82391
489.46191,0.82345
490.42164,0.82147
491.38137,0.81827
492.3411,0.81472
493.30083,0.81107
494.26056,0.80647
495.22029,0.79973
496.18002,0.79071
497.13974,0.78035
498.09947,0.76953
499.0592,0.75813
500.01893,0.74519
500.97866,0.72934
501.93839,0.70902
502.89812,0.68234
503.85785,0.64646
504.81758,0.5973
505.77731,0.53114
506.73704,0.44846
507.69677,0.35647
508.6565,0.26664
509.61622,0.18934
510.57595,0.12987
511.53568,0.08786
512.49541,0.05954
513.45514,0.04059
514.41487,0.02767
515.3746,0.01873
516.33433,0.01267
517.29406,0.00878
518.25379,0.00639
519.21352,0.00491
520.17325,0.00396
521.13298,0.00351
522.0927,0.00379
523.05243,0.00477
524.01216,0.00649
524.97189,0.00892
525.93162,0.01178
526.89135,0.01496
527.85108,0.01867
528.81081,0.02317
529.77054,0.02856
530.73027,0.03489
531.69,0.04246
532.64973,0.05206
533.60946,0.06471
534.56918,0.08139
535.52891,0.10348
536.48864,0.13336
537.44837,0.17381
538.4081,0.22593
539.36783,0.28694
540.32756,0.34993
541.28729,0.40636
542.24702,0.44972
543.20675,0.47753
544.16648,0.49065
545.12621,0.49094
546.08594,0.47933
547.04566,0.45508
548.00539,0.41636
548.96512,0.3622
549.92485,0.29559
550.88458,0.22465
551.84431,0.1596
552.80404,0.10775
553.76377,0.07095
554.7235,0.04679
555.68323,0.03152
556.64296,0.0219
557.60269,0.01564
558.56242,0.01133
559.52214,0.0083
560.48187,0.00617
561.4416,0.00463
562.40133,0.00351
563.36106,0.00251
564.32079,0.0014
565.28052,0.00145
566.24025,0.00181
567.19998,0.00159
568.15971,0.00104
569.11944,0.00064
570.07917,0.00089
571.0389,0.00198
571.99863,0.00327
572.95835,0.00443
573.91808,0.00519
574.87781,0.00539
575.83754,0.00518
576.79727,0.00516
577.757,0.00576
578.71673,0.00668
579.67646,0.00743
580.63619,0.00789
581.59592,0.00838
582.55565,0.00921
583.51538,0.01023
584.47511,0.01108
585.43483,0.01152
586.39456,0.01163
587.35429,0.0117
588.31402,0.01206
589.27375,0.01284
590.23348,0.01388
591.19321,0.01484
592.15294,0.01552
593.11267,0.0159
594.0724,0.01606
595.03213,0.01609
595.99186,0.01602
596.95159,0.01597
597.91131,0.01607
