Frequency,Reflectivity
399.24736,0.12291
400.20709,0.1116
401.16682,0.09908
402.12655,0.08484
403.08628,0.07042
404.04601,0.05875
405.00574,0.05226
405.96547,0.05166
406.9252,0.05607
407.88493,0.06314
408.84465,0.06983
409.80438,0.07428
410.76411,0.0769
411.72384,0.07917
412.68357,0.08174
413.6433,0.08409
414.60303,0.08551
415.56276,0.08597
416.52249,0.08622
417.48222,0.08749
418.44195,0.09097
419.40168,0.09626
420.36141,0.10118
421.32113,0.10444
422.28086,0.1065
423.24059,0.10843
424.20032,0.11104
425.16005,0.11475
426.11978,0.11947
427.07951,0.1246
428.03924,0.12915
428.99897,0.13255
429.9587,0.13521
430.91843,0.13792
431.87816,0.14081
432.83789,0.14332
433.79761,0.14523
434.75734,0.14717
435.71707,0.15019
436.6768,0.15488
437.63653,0.1608
438.59626,0.167
439.55599,0.17272
440.51572,0.17779
441.47545,0.18256
442.43518,0.18781
443.39491,0.19419
444.35464,0.20168
445.31437,0.20984
446.2741,0.21859
447.23382,0.2283
448.19355,0.23896
449.15328,0.24994
450.11301,0.26064
451.07274,0.27077
452.03247,0.27983
452.9922,0.28698
453.95193,0.29197
454.91166,0.29551
455.87139,0.29845
456.83112,0.3012
457.79085,0.30409
458.75058,0.30761
459.7103,0.31194
460.67003,0.31674
461.62976,0.32139
462.58949,0.32532
463.54922,0.32837
464.50895,0.33102
465.46868,0.3341
466.42841,0.33815
467.38814,0.34307
468.34787,0.34801
469.3076,0.35206
470.26733,0.35516
471.22706,0.35841
472.18678,0.36303
473.14651,0.36894
474.10624,0.375
475.06597,0.38056
476.0257,0.38582
476.98543,0.3911
477.94516,0.39649
478.90489,0.40204
479.86462,0.40797
480.82435,0.41446
481.78408,0.42161
482.74381,0.42961
483.70354,0.43886
484.66326,0.44972
485.62299,0.46246
486.58272,0.47743
487.54245,0.49504
488.50218,0.51542
489.46191,0.53849
490.42164,0.56437
491.38137,0.59337
492.3411,0.6251
493.30083,0.65777
494.26056,0.6887
495.22029,0.71547
496.18002,0.73698
497.13974,0.75355
498.09947,0.76579
499.0592,0.77368
500.01893,0.77663
500.97866,0.77386
501.93839,0.76434
502.89812,0.7461
503.85785,0.71517
504.81758,0.66591
505.77731,0.59561
506.73704,0.51226
507.69677,0.43594
508.6565,0.3882
509.61622,0.37899
510.57595,0.40282
511.53568,0.44485
512.49541,0.49006
513.45514,0.52909
514.41487,0.55856
515.3746,0.5789
516.33433,0.59228
517.29406,0.60135
518.25379,0.60825
519.21352,0.61396
520.17325,0.61837
521.13298,0.6211
522.0927,0.62218
523.05243,0.62231
524.01216,0.62231
524.97189,0.62256
525.93162,0.62286
526.89135,0.62274
527.85108,0.62202
528.81081,0.62097
529.77054,0.62005
530.73027,0.61932
531.69,0.6185
532.64973,0.61739
533.60946,0.61618
534.56918,0.61511
535.52891,0.61409
536.48864,0.61272
537.44837,0.61064
538.4081,0.60764
539.36783,0.60359
540.32756,0.59833
541.28729,0.59168
542.24702,0.58354
543.20675,0.57395
544.16648,0.56292
545.12621,0.54994
546.08594,0.53375
547.04566,0.51239
548.00539,0.48331
548.96512,0.44388
549.92485,0.393
550.88458,0.33315
551.84431,0.2705
552.80404,0.21235
553.76377,0.16378
554.7235,0.12612
555.68323,0.09792
556.64296,0.07702
557.60269,0.06158
558.56242,0.05018
559.52214,0.04162
560.48187,0.03501
561.4416,0.02969
562.40133,0.02533
563.36106,0.02178
564.32079,0.0189
565.28052,0.01649
566.24025,0.01438
567.19998,0.01256
568.15971,0.01114
569.11944,0.01018
570.07917,0.0096
571.0389,0.00919
571.99863,0.00881
572.95835,0.00842
573.91808,0.00808
574.87781,0.00795
575.83754,0.00812
576.79727,0.00854
577.757,0.00896
578.71673,0.00913
579.67646,0.00904
580.63619,0.00887
581.59592,0.00873
582.55565,0.00879
583.51538,0.00915
584.47511,0.00973
585.43483,0.01033
586.39456,0.01077
587.35429,0.01106
588.31402,0.01125
589.27375,0.01152
590.23348,0.01197
591.19321,0.01257
592.15294,0.01317
593.11267,0.01371
594.0724,0.01427
595.03213,0.01496
595.99186,0.01573
596.95159,0.01641
597.91131,0.01689
