Frequency,Reflectivity
399.24736,0.05001
400.20709,0.05163
401.16682,0.04881
402.12655,0.04341
403.08628,0.0388
404.04601,0.03704
405.00574,0.03806
405.96547,0.04091
406.9252,0.04479
407.88493,0.0493
408.84465,0.05432
409.80438,0.05969
410.76411,0.06499
411.72384,0.06954
412.68357,0.07263
413.6433,0.07387
414.60303,0.07362
415.56276,0.073
416.52249,0.07304
417.48222,0.07388
418.44195,0.07498
419.40168,0.07651
420.36141,0.07938
421.32113,0.08348
422.28086,0.08754
423.24059,0.09039
424.20032,0.09193
425.16005,0.09275
426.11978,0.09331
427.07951,0.09367
428.03924,0.09408
428.99897,0.09516
429.9587,0.09744
430.91843,0.10089
431.87816,0.10506
432.83789,0.1095
433.79761,0.11396
434.75734,0.11806
435.71707,0.12093
436.6768,0.12187
437.63653,0.1214
438.59626,0.12107
439.55599,0.12218
440.51572,0.12491
441.47545,0.12866
442.43518,0.13295
443.39491,0.1376
444.35464,0.14229
445.31437,0.14655
446.2741,0.15039
447.23382,0.15429
448.19355,0.15838
449.15328,0.16213
450.11301,0.16518
451.07274,0.16808
452.03247,0.17162
452.9922,0.1757
453.95193,0.17935
454.91166,0.18185
455.87139,0.18331
456.83112,0.18448
457.79085,0.18628
458.75058,0.1892
459.7103,0.19308
460.67003,0.19748
461.62976,0.2019
462.58949,0.20594
463.54922,0.20953
464.50895,0.21288
465.46868,0.2161
466.42841,0.21915
467.38814,0.22218
468.34787,0.22563
469.3076,0.22976
470.26733,0.23431
471.22706,0.23869
472.18678,0.24247
473.14651,0.24585
474.10624,0.24965
475.06597,0.25462
476.0257,0.26059
476.98543,0.26674
477.94516,0.27255
478.90489,0.27824
479.86462,0.28416
480.82435,0.29025
481.78408,0.29661
482.74381,0.30397
483.70354,0.31313
484.66326,0.32414
485.62299,0.33644
486.58272,0.3499
487.54245,0.3652
488.50218,0.38329
489.46191,0.40484
490.42164,0.43034
491.38137,0.46004
492.3411,0.49328
493.30083,0.52803
494.26056,0.56121
495.22029,0.5899
496.18002,0.61255
497.13974,0.62934
498.09947,0.64115
499.0592,0.64844
500.01893,0.65094
500.97866,0.64782
501.93839,0.63767
502.89812,0.61827
503.85785,0.58562
504.81758,0.53399
505.77731,0.46035
506.73704,0.37254
507.69677,0.29148
508.6565,0.24105
509.61622,0.23428
510.57595,0.26809
511.53568,0.3278
512.49541,0.39592
513.45514,0.45897
514.41487,0.50995
515.3746,0.54748
516.33433,0.57379
517.29406,0.59239
518.25379,0.60629
519.21352,0.61723
520.17325,0.62591
521.13298,0.63264
522.0927,0.63761
523.05243,0.64102
524.01216,0.64308
524.97189,0.6441
525.93162,0.64468
526.89135,0.64542
527.85108,0.64637
528.81081,0.64698
529.77054,0.64678
530.73027,0.64589
531.69,0.64485
532.64973,0.64387
533.60946,0.64276
534.56918,0.64141
535.52891,0.63995
536.48864,0.63847
537.44837,0.6365
538.4081,0.63322
539.36783,0.62807
540.32756,0.62122
541.28729,0.61325
542.24702,0.60432
543.20675,0.59389
544.16648,0.58118
545.12621,0.56554
546.08594,0.54617
547.04566,0.52143
548.00539,0.48855
548.96512,0.44458
549.92485,0.3886
550.88458,0.32393
551.84431,0.25786
552.80404,0.19841
553.76377,0.15057
554.7235,0.11479
555.68323,0.08857
556.64296,0.06901
557.60269,0.05412
558.56242,0.0427
559.52214,0.03396
560.48187,0.02734
561.4416,0.02222
562.40133,0.018
563.36106,0.01426
564.32079,0.011
565.28052,0.00849
566.24025,0.00679
567.19998,0.00559
568.15971,0.00451
569.11944,0.00354
570.07917,0.00291
571.0389,0.00268
571.99863,0.00268
572.95835,0.00256
573.91808,0.00219
574.87781,0.00179
575.83754,0.00177
576.79727,0.00208
577.757,0.00224
578.71673,0.00225
579.67646,0.00237
580.63619,0.00259
581.59592,0.0028
582.55565,0.00302
583.51538,0.00336
584.47511,0.00383
585.43483,0.00427
586.39456,0.0045
587.35429,0.00458
588.31402,0.00469
589.27375,0.00501
590.23348,0.00554
591.19321,0.00617
592.15294,0.00672
593.11267,0.00708
594.0724,0.00728
595.03213,0.00748
595.99186,0.0079
596.95159,0.00859
597.91131,0.0094
