Frequency,Reflectivity
399.24736,0.14725
400.20709,0.13294
401.16682,0.11723
402.12655,0.10316
403.08628,0.09337
404.04601,0.08856
405.00574,0.08739
405.96547,0.08808
406.9252,0.08994
407.88493,0.09316
408.84465,0.09769
409.80438,0.10282
410.76411,0.10781
411.72384,0.11239
412.68357,0.1167
413.6433,0.12093
414.60303,0.12473
415.56276,0.12759
416.52249,0.12969
417.48222,0.13205
418.44195,0.13565
419.40168,0.14024
420.36141,0.14462
421.32113,0.14815
422.28086,0.15081
423.24059,0.15307
424.20032,0.15595
425.16005,0.16
426.11978,0.16447
427.07951,0.16811
428.03924,0.17069
428.99897,0.17283
429.9587,0.17475
430.91843,0.17622
431.87816,0.17776
432.83789,0.18077
433.79761,0.18593
434.75734,0.1922
435.71707,0.19778
436.6768,0.20189
437.63653,0.20528
438.59626,0.20916
439.55599,0.21424
440.51572,0.22046
441.47545,0.22723
442.43518,0.23394
443.39491,0.24047
444.35464,0.24735
445.31437,0.25532
446.2741,0.2648
447.23382,0.27572
448.19355,0.2874
449.15328,0.29871
450.11301,0.3087
451.07274,0.31714
452.03247,0.32465
452.9922,0.33189
453.95193,0.33893
454.91166,0.34546
455.87139,0.35124
456.83112,0.35603
457.79085,0.35944
458.75058,0.36137
459.7103,0.36239
460.67003,0.36327
461.62976,0.3648
462.58949,0.36763
463.54922,0.3719
464.50895,0.37689
465.46868,0.38158
466.42841,0.3855
467.38814,0.389
468.34787,0.39274
469.3076,0.3972
470.26733,0.40258
471.22706,0.40857
472.18678,0.41419
473.14651,0.41867
474.10624,0.42232
475.06597,0.42612
476.0257,0.43061
476.98543,0.43581
477.94516,0.44149
478.90489,0.44737
479.86462,0.45324
480.82435,0.45916
481.78408,0.46543
482.74381,0.47241
483.70354,0.48045
484.66326,0.48997
485.62299,0.50129
486.58272,0.51445
487.54245,0.52928
488.50218,0.54581
489.46191,0.56441
490.42164,0.58567
491.38137,0.60975
492.3411,0.63586
493.30083,0.6624
494.26056,0.6875
495.22029,0.70944
496.18002,0.72715
497.13974,0.74071
498.09947,0.7511
499.0592,0.7592
500.01893,0.76529
500.97866,0.76927
501.93839,0.77105
502.89812,0.77054
503.85785,0.76736
504.81758,0.76098
505.77731,0.75143
506.73704,0.74015
507.69677,0.72935
508.6565,0.72009
509.61622,0.71147
510.57595,0.70193
511.53568,0.69127
512.49541,0.68115
513.45514,0.67355
514.41487,0.66907
515.3746,0.66681
516.33433,0.66549
517.29406,0.66447
518.25379,0.66372
519.21352,0.66321
520.17325,0.66268
521.13298,0.66186
522.0927,0.66053
523.05243,0.65856
524.01216,0.6561
524.97189,0.65367
525.93162,0.65186
526.89135,0.65068
527.85108,0.64951
528.81081,0.6478
529.77054,0.6457
530.73027,0.64373
531.69,0.64216
532.64973,0.64075
533.60946,0.63913
534.56918,0.63725
535.52891,0.63532
536.48864,0.63353
537.44837,0.63176
538.4081,0.62961
539.36783,0.62666
540.32756,0.62275
541.28729,0.61791
542.24702,0.6122
543.20675,0.60566
544.16648,0.59825
545.12621,0.58982
546.08594,0.58019
547.04566,0.56919
548.00539,0.55643
548.96512,0.54094
549.92485,0.52138
550.88458,0.49589
551.84431,0.46181
552.80404,0.41634
553.76377,0.3589
554.7235,0.29332
555.68323,0.22721
556.64296,0.16848
557.60269,0.12182
558.56242,0.08772
559.52214,0.06388
560.48187,0.04725
561.4416,0.03536
562.40133,0.02664
563.36106,0.02027
564.32079,0.01567
565.28052,0.01232
566.24025,0.00978
567.19998,0.00788
568.15971,0.00659
569.11944,0.00592
570.07917,0.00579
571.0389,0.00594
571.99863,0.00603
572.95835,0.00583
573.91808,0.00547
574.87781,0.0054
575.83754,0.00582
576.79727,0.00653
577.757,0.0072
578.71673,0.00787
579.67646,0.00875
580.63619,0.00988
581.59592,0.01103
582.55565,0.01204
583.51538,0.01292
584.47511,0.01371
585.43483,0.01443
586.39456,0.01522
587.35429,0.01633
588.31402,0.01775
589.27375,0.01923
590.23348,0.02052
591.19321,0.02153
592.15294,0.02239
593.11267,0.02316
594.0724,0.02389
595.03213,0.02461
595.99186,0.0254
596.95159,0.02627
597.91131,0.02719
